word,frequency
pryoga,28010
vyktimaa,30
sksmtaa,23
hundain,3107
ysai,11998
sndrbhmaa,1321
chimeki,3044
bhaartkaa,4480
purvraastrpti,46
srvplli,23
raadhaakrisnnle,23
bhnaa,4720
deshko,10698
uttm,1267
mstisk,303
bhaa,26457
bnaaunuprch,551
tystai,7761
epije,23
abdul,314
klaamkaa,23
shbdmaa,1192
shikskhru,228
raastrkaa,206
merudnd,23
shresth,3152
shikskhrudvaaraa,23
raastrko,3471
nirmaan,18640
skch,5945
sy,6869
vrspurv,59
amerikaamaa,2578
snggh,1287
smudaayle,890
shikskhrule,45
garnuprne,1537
aakaarsnhitaa,41
paarit,546
jsko,18266
uddeshy,2500
shikskhrumaa,23
vyktigat,1171
saamaajik,25698
paagat,47
gaun,767
tpsil,23
bmojim,2200
hunuprne,534
bhni,5946
garieko,39287
svaasthy,3810
aakrsk,1292
vyktitv,618
mdhur,65
svr,1604
ruki,1014
utsaah,166
dhairy,61
shnshiltaa,152
prem,2067
shaanubhuti,680
aatmvishvaas,460
naitiktaa,116
kritrvaan,23
pkspaatrhit,23
spst,4333
vktaa,205
maanviy,1453
smbndh,6358
kaaym,7247
kriyaashil,341
vinodpiry,23
netttv,23
ksmtaa,1986
smudaayko,3259
sbbhndaa,5139
prmukh,34037
visyvstuko,32
ukk,15718
kaushl,468
baalmnovijnyaanko,23
pddhti,1348
vidhi,1185
prvidhiko,1281
uttrdaayitv,146
bodh,451
jijnyaasu,88
adhyynshil,25
khoj,3619
saaraanshmaa,28
sthaapit,10388
muly,797
aadrshlaai,23
shtprtisht,93
pshkimle,23
svikaar,3862
gariskaa,961
dui,24550
thulaa,6613
krkaa,3497
dev,1922
brihspti,23
asur,60
shukraakaary,23
deshkaa,4994
nirmaataa,975
vinaashkrtaa,23
bnn,4876
skchn,1728
tsrth,1097
aaj,8634
gaurupunimaakaa,23
haamile,2286
ksto,590
pujaa,10189
kor,43
tirskaar,77
soknuprch,23
bhnnuko,34
baalbaalikaako,23
srvaanggain,47
vikaasmaa,1715
sirjnaatmk,67
shktiko,2025
visnujstai,23
herkaah,105
rekhdekh,75
paalnposn,29
mheshvrjstai,23
ajnyaan,23
kumaarga,23
kuvikaarko,23
naash,630
kushl,733
bhaancheko,23
abhaavmaa,746
saamaanko,80
prkrtaale,23
susvaadu,23
prikaar,224
smbhv,1555
nbhejstai,23
asl,284
shikskko,400
chain,18827
dvaapr,76
yugako,1154
braahmn,5738
brhmkaary,18
traa,136
shreni,11832
naalko,83373
snskriti,8742
naalkaa,15413
kaadprvhru,268
gau,59
ru,2220
gaurupurnimaa'laai,13
purnimaa,274
snggathnle,77
shriraam,237
buddh,7053
gathemnggal,76
ropaainpchiko,14
kaad,1484
ghntaakrn,25
ktudrshi,25
naar,4735
dobaato,72
kaubaatomaa,74
nrktko,48
linggaaakrit,25
tinkhutte,73
thdyaai,48
saaun,907
kturdshikaa,250
bihaanai,308
bnaai,2527
kaahrule,25
ghntaakrnko,48
jgaaat,73
le,18511
bhndai,1682
btuvaahrusnga,25
kr,3597
maagane,283
gathemnggalmaa,50
flaamkaa,160
aunthi,56
kaadmaa,290
mhilaahru,564
haatmaa,3096
mehndi,25
lainkaa,25
s,12291
saanaa,10876
naanile,25
aafule,1192
khelne,748
putlihru,88
authimaa,25
chuvaai,25
ghr,18100
laane,503
ksaile,3338
jhundyaai,25
raakhne,3253
ghaam,558
astaaepchi,46
kunai,36266
kndaal,25
haalaahulu,8
chvaaliko,48
kiraaga,76
lgaaai,1269
gathemnggallaai,25
tinptk,64
prikrmaa,2298
garaaer,1194
dhaalepchi,25
njikko,788
ndimaa,4097
pur‍yaai,150
visrjn,570
tolkaa,48
maanishru,10190
aa,3103
ghrbaat,417
maatoko,691
paalaamaa,2350
kiuraako,48
dhuto,48
kt,121
jaandko,25
chokraa,48
vaa,42429
sithi,25
raangaaakaa,25
foksokaa,48
tukraa,714
rgat,623
lsun,140
chaapi,206
singaai,48
kaanko,136
andaa,408
raakhi,2282
kikndhaalaa,25
bchaa,48
kkaa,41
bau,75
svaan,24
fulkaa,127
prkaarhru,32
singaaarer,216
bhut,374
pnchaaune,77
tysri,574
pnchaaun,26
lganuaghi,25
singaaarieko,60
baulaai,25
bikmaa,6422
kaaraitrf,129
privaarkaa,964
sdsy,8776
bser,1549
chaapikaa,48
smebji,48
kiuraa,435
poleko,70
maasu,1821
bhuteko,56
bhtmaas,94
aduvaa,1885
jaandrksi,145
khaane,1324
maun,466
rher,1467
raakhepchi,40
ghrko,2236
mul,5210
dhokaakaa,25
thelo,25
lukhaakhru,8
maa,116702
kilaa,150
thokne,25
gathemnggaldekhi,25
gaaaijaatraa,438
indrjaatraa,382
baadaajaatraa,25
pnykdaan,25
dsai,29
tihaar,537
lhrai,25
aaune,4136
lingaaakrit,46
gathaanmuga,46
aun,3147
shtaabdidkhi,23
mnaaiudai,23
snskritividhruko,23
bhnaai,2649
bhktpurko,647
dttaatry,31
paanktle,25
mndir,26820
sdk,7274
kokkokmaa,23
nrkt,23
gahunko,314
chvaaliko,23
gathaanmugaah,138
thdyaaieko,69
ysto,12417
raajdhaanikaa,81
dhaijso,3738
tolmaa,252
hraaundai,23
raajdhaaniko,453
nrdevi,253
kilaagal,23
ksetrmaa,30369
vishes,13270
ystai,2667
llitpurko,347
paatn,1657
mngalbjaar,61
khoknaa,51
kaathmaadaunko,2102
kirtipur,502
saankhuko,59
tolaipikche,23
baalbaalikaa,604
budhaapaakaahru,81
bhaa,1230
bher,12562
prmpraagat,4991
naaraa,392
lgaaaundai,84
gathaanmugaahlaai,23
jlaainch,106
ysmaa,10444
duvai,4774
kaanmaa,164
ghntaa,2292
jhundyaaeko,23
bhyaank,795
mukhaakritiko,23
